index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Total Actual Power,Total Estimated Power
3,2017-09-01,Eastern,441.02,429.39,,,85.94,69.36,,
8,2017-09-02,Eastern,441.02,425.75,,,85.94,74.18,,
13,2017-09-03,Eastern,445.38,427.61,,,85.94,71.05,,
18,2017-09-04,Eastern,445.38,450.85,,,85.94,75.21,,
23,2017-09-05,Eastern,449.92,459.09,,,85.94,70.29,,
28,2017-09-06,Eastern,449.92,464.82,,,85.94,76.43,,
33,2017-09-07,Eastern,449.92,461.96,,,85.94,75.34,,
38,2017-09-08,Eastern,455.66,454.88,,,85.94,81.48,,
43,2017-09-09,Eastern,455.66,455.25,,,85.94,80.46,,
48,2017-09-10,Eastern,455.66,432.59,,,85.94,72.65,,
53,2017-09-11,Eastern,455.66,435.21,,,85.94,77.93,,
58,2017-09-12,Eastern,455.66,440.93,,,85.94,71.55,,
63,2017-09-13,Eastern,455.66,450.83,,,85.94,72.06,,
68,2017-09-14,Eastern,455.66,450.78,,,85.94,77.8,,
73,2017-09-15,Eastern,484.74,438.75,,,85.94,83.76,,
78,2017-09-16,Eastern,486.07,443.23,,,85.94,79.07,,
83,2017-09-17,Eastern,486.07,421.62,,,85.94,72.32,,
88,2017-09-18,Eastern,486.07,390.63,,,85.94,67.06,,
93,2017-09-19,Eastern,486.07,417.92,,,85.94,69.41,,
98,2017-09-20,Eastern,486.07,418.22,,,85.94,66.42,,
103,2017-09-21,Eastern,486.07,438.6,,,85.94,76.02,,
108,2017-09-22,Eastern,147.51,138.3,,,3.37,2.65,,
113,2017-09-23,Eastern,486.07,436.38,,,85.94,73.2,,
118,2017-09-24,Eastern,486.07,437.88,,,85.94,64.41,,
123,2017-09-25,Eastern,486.07,449.09,,,85.94,71.43,,
128,2017-09-26,Eastern,486.07,453.26,,,85.94,72.9,,
133,2017-09-27,Eastern,486.07,445.78,,,85.94,73.83,,
138,2017-09-28,Eastern,486.07,431.07,,,85.94,70.97,,
143,2017-09-29,Eastern,486.07,417.12,,,85.94,71.65,,
148,2017-09-30,Eastern,486.07,403.41,,,85.94,71.71,,
153,2017-10-01,Eastern,479.5,382.63,,,63.36,71.06,,
158,2017-10-03,Eastern,479.5,396.4,,,63.36,76.3,,
163,2017-10-04,Eastern,479.5,387.92,,,63.36,80.68,,
168,2017-10-05,Eastern,479.5,387.85,,,63.36,81.2,,
173,2017-10-06,Eastern,479.5,401.48,,,63.36,77.08,,
178,2017-10-07,Eastern,479.5,402.74,,,63.36,73.75,,
183,2017-10-08,Eastern,479.5,404.25,,,63.36,72.49,,
188,2017-10-09,Eastern,479.5,413.99,,,63.36,66.62,,
193,2017-10-10,Eastern,479.5,419.5,,,63.36,69.8,,
198,2017-10-11,Eastern,486.88,416.31,,,63.36,73.77,,
203,2017-10-12,Eastern,486.88,412.28,,,63.36,76.79,,
208,2017-10-13,Eastern,486.88,400.19,,,63.36,72.37,,
213,2017-10-14,Eastern,486.88,419.29,,,63.36,74.79,,
218,2017-10-15,Eastern,486.88,407.83,,,63.36,76.3,,
223,2017-10-16,Eastern,486.88,413.23,,,63.36,49.46,,
228,2017-10-17,Eastern,486.88,436.6,,,63.36,63.63,,
233,2017-10-18,Eastern,486.88,432.78,,,63.36,59.9,,
238,2017-10-19,Eastern,486.88,421.01,,,63.36,54.78,,
243,2017-10-20,Eastern,484.8,405.91,,,63.36,55.7,,
248,2017-10-21,Eastern,473.75,396.47,,,63.36,53.33,,
253,2017-10-22,Eastern,469.18,412.41,,,63.36,54.17,,
258,2017-10-23,Eastern,467.82,431.59,,,63.36,53.03,,
263,2017-10-24,Eastern,467.82,440.35,,,63.36,64.65,,
268,2017-10-25,Eastern,467.82,438.69,,,63.36,58.72,,
273,2017-10-26,Eastern,467.82,439.32,,,63.36,54.62,,
278,2017-10-27,Eastern,469.9,429.63,,,63.36,47.09,,
283,2017-10-28,Eastern,469.9,429.2,,,63.36,42.38,,
288,2017-10-29,Eastern,469.9,422.93,,,63.36,41.81,,
293,2017-10-30,Eastern,469.9,425.51,,,63.36,40.32,,
298,2017-10-31,Eastern,469.9,422.94,,,63.36,41.37,,
303,2017-11-01,Eastern,451.11,430.68,,,36.75,39.83,,
308,2017-11-02,Eastern,451.11,422.37,,,36.75,40.95,,
313,2017-11-03,Eastern,451.11,437.55,,,36.75,40.48,,
318,2017-11-04,Eastern,451.11,437.3,,,36.75,39.22,,
323,2017-11-05,Eastern,451.11,438.22,,,36.75,37.3,,
328,2017-11-06,Eastern,451.11,432.52,,,36.75,40.17,,
333,2017-11-07,Eastern,454.86,424.32,,,36.75,39.33,,
338,2017-11-08,Eastern,454.86,430.26,,,36.75,37.18,,
343,2017-11-09,Eastern,454.86,426.79,,,36.75,35.99,,
348,2017-11-10,Eastern,454.86,406.17,,,36.75,37.09,,
353,2017-11-11,Eastern,454.86,416.83,,,36.75,35.11,,
358,2017-11-12,Eastern,454.86,416.21,,,36.75,34.09,,
363,2017-11-13,Eastern,454.86,420.78,,,36.75,38.26,,
368,2017-11-14,Eastern,454.86,419.03,,,36.75,38.7,,
373,2017-11-15,Eastern,475.92,407.92,,,36.75,37.27,,
378,2017-11-16,Eastern,479.32,402.75,,,36.75,34.88,,
383,2017-11-17,Eastern,479.32,396.23,,,36.75,39.57,,
388,2017-11-18,Eastern,474.02,399.44,,,36.75,36.53,,
393,2017-11-19,Eastern,474.02,408.93,,,36.75,28.96,,
