index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Total Actual Power,Total Estimated Power
4,2017-09-01,NorthEastern,29.11,15.91,,,24.64,21.21,,
9,2017-09-02,NorthEastern,29.11,16.5,,,24.64,20.81,,
14,2017-09-03,NorthEastern,29.11,15.52,,,24.64,23.84,,
19,2017-09-04,NorthEastern,29.11,16.85,,,24.64,24.1,,
24,2017-09-05,NorthEastern,29.11,16.64,,,24.64,22.86,,
29,2017-09-06,NorthEastern,29.11,16.44,,,24.64,27.8,,
34,2017-09-07,NorthEastern,29.11,20.71,,,24.64,24.12,,
39,2017-09-08,NorthEastern,29.11,20.85,,,24.64,24.32,,
44,2017-09-09,NorthEastern,29.11,18.92,,,24.64,24.94,,
49,2017-09-10,NorthEastern,29.11,23.01,,,24.64,26.7,,
54,2017-09-11,NorthEastern,29.11,23.32,,,24.64,22.78,,
59,2017-09-12,NorthEastern,29.11,25.41,,,24.64,24.12,,
64,2017-09-13,NorthEastern,29.11,27.89,,,24.64,25.06,,
69,2017-09-14,NorthEastern,29.11,29.45,,,24.64,24.85,,
74,2017-09-15,NorthEastern,29.11,28.63,,,24.64,20.8,,
79,2017-09-16,NorthEastern,29.11,29.85,,,24.64,19.61,,
84,2017-09-17,NorthEastern,29.11,28.72,,,24.64,19.98,,
89,2017-09-18,NorthEastern,29.11,28.67,,,24.64,20.88,,
94,2017-09-19,NorthEastern,29.11,30.77,,,24.64,20.24,,
99,2017-09-20,NorthEastern,29.11,30.31,,,24.64,21.97,,
104,2017-09-21,NorthEastern,29.11,27.53,,,24.64,22.08,,
109,2017-09-22,NorthEastern,12.34,12.38,,,0.0,0.0,,
114,2017-09-23,NorthEastern,29.11,28.05,,,24.64,21.42,,
119,2017-09-24,NorthEastern,29.11,29.49,,,24.64,24.36,,
124,2017-09-25,NorthEastern,29.11,29.55,,,24.64,22.31,,
129,2017-09-26,NorthEastern,29.11,30.02,,,24.64,21.85,,
134,2017-09-27,NorthEastern,29.11,30.1,,,24.64,21.47,,
139,2017-09-28,NorthEastern,29.11,30.25,,,24.64,22.83,,
144,2017-09-29,NorthEastern,29.11,29.71,,,24.64,25.09,,
149,2017-09-30,NorthEastern,29.11,29.41,,,24.64,27.65,,
154,2017-10-01,NorthEastern,29.16,29.11,,,17.17,27.48,,
159,2017-10-03,NorthEastern,29.16,29.33,,,17.17,25.78,,
164,2017-10-04,NorthEastern,29.16,30.12,,,17.17,25.15,,
169,2017-10-05,NorthEastern,29.16,31.05,,,17.17,24.35,,
174,2017-10-06,NorthEastern,29.16,31.36,,,17.17,23.01,,
179,2017-10-07,NorthEastern,29.16,30.95,,,17.17,21.94,,
184,2017-10-08,NorthEastern,29.16,30.12,,,17.17,19.52,,
189,2017-10-09,NorthEastern,29.16,30.21,,,17.17,20.29,,
194,2017-10-10,NorthEastern,29.16,30.48,,,17.17,21.31,,
199,2017-10-11,NorthEastern,29.16,30.17,,,17.17,21.88,,
204,2017-10-12,NorthEastern,29.16,29.92,,,17.17,19.9,,
209,2017-10-13,NorthEastern,29.16,29.63,,,17.17,21.15,,
214,2017-10-14,NorthEastern,29.16,28.71,,,17.17,20.9,,
219,2017-10-15,NorthEastern,29.16,29.87,,,17.17,23.29,,
224,2017-10-16,NorthEastern,29.16,30.68,,,17.17,21.29,,
229,2017-10-17,NorthEastern,29.16,34.05,,,17.17,20.2,,
234,2017-10-18,NorthEastern,29.16,33.71,,,17.17,20.02,,
239,2017-10-19,NorthEastern,29.16,31.1,,,17.17,17.45,,
244,2017-10-20,NorthEastern,29.16,28.76,,,17.17,16.83,,
249,2017-10-21,NorthEastern,29.16,27.34,,,17.17,17.32,,
254,2017-10-22,NorthEastern,29.16,26.81,,,17.17,22.23,,
259,2017-10-23,NorthEastern,29.16,28.16,,,17.17,23.78,,
264,2017-10-24,NorthEastern,29.16,29.52,,,17.17,23.06,,
269,2017-10-25,NorthEastern,29.16,28.7,,,17.17,22.27,,
274,2017-10-26,NorthEastern,29.16,28.93,,,17.17,20.61,,
279,2017-10-27,NorthEastern,29.16,28.62,,,17.17,19.41,,
284,2017-10-28,NorthEastern,29.16,27.32,,,17.17,19.11,,
289,2017-10-29,NorthEastern,29.16,28.06,,,17.17,19.27,,
294,2017-10-30,NorthEastern,29.16,28.94,,,17.17,19.26,,
299,2017-10-31,NorthEastern,29.16,28.6,,,17.17,19.04,,
304,2017-11-01,NorthEastern,29.11,32.12,,,12.92,17.97,,
309,2017-11-02,NorthEastern,29.11,33.99,,,12.92,16.71,,
314,2017-11-03,NorthEastern,29.11,34.66,,,12.92,15.75,,
319,2017-11-04,NorthEastern,29.11,32.35,,,12.92,15.76,,
324,2017-11-05,NorthEastern,29.11,30.87,,,12.92,14.99,,
329,2017-11-06,NorthEastern,29.11,34.79,,,12.92,15.88,,
334,2017-11-07,NorthEastern,29.11,29.06,,,12.92,16.65,,
339,2017-11-08,NorthEastern,29.11,33.27,,,12.92,16.57,,
344,2017-11-09,NorthEastern,29.11,32.8,,,12.92,14.72,,
349,2017-11-10,NorthEastern,29.11,32.1,,,12.92,15.26,,
354,2017-11-11,NorthEastern,29.11,32.08,,,12.92,15.83,,
359,2017-11-12,NorthEastern,29.11,30.1,,,12.92,15.14,,
364,2017-11-13,NorthEastern,29.11,28.7,,,12.92,15.69,,
369,2017-11-14,NorthEastern,29.11,30.15,,,12.92,16.16,,
374,2017-11-15,NorthEastern,29.11,31.16,,,12.92,15.63,,
379,2017-11-16,NorthEastern,29.11,31.84,,,12.92,15.83,,
384,2017-11-17,NorthEastern,29.11,32.61,,,12.92,15.64,,
389,2017-11-18,NorthEastern,29.11,31.69,,,12.92,15.34,,
394,2017-11-19,NorthEastern,29.11,32.41,,,12.92,15.5,,
399,2017-11-20,NorthEastern,29.11,32.42,,,12.92,15.28,,
404,2017-11-21,NorthEastern,29.11,32.62,,,12.92,14.83,,
409,2017-11-22,NorthEastern,29.11,28.91,,,12.92,16.18,,
414,2017-11-23,NorthEastern,29.11,29.42,,,12.92,14.8,,
419,2017-11-24,NorthEastern,29.11,29.45,,,12.92,15.56,,
424,2017-11-25,NorthEastern,29.11,29.07,,,12.92,14.54,,
429,2017-11-26,NorthEastern,29.11,29.87,,,12.92,14.56,,
434,2017-11-27,NorthEastern,29.11,31.88,,,12.92,14.46,,
439,2017-11-28,NorthEastern,29.11,30.47,,,12.92,14.57,,
444,2017-11-29,NorthEastern,29.11,29.75,,,12.92,14.15,,
449,2017-11-30,NorthEastern,29.11,28.22,,,12.92,14.01,,
454,2017-12-01,NorthEastern,29.14,27.3,,,12.11,13.4,,
459,2017-12-02,NorthEastern,29.14,27.27,,,12.11,13.71,,
464,2017-12-03,NorthEastern,29.14,27.26,,,12.11,13.43,,
469,2017-12-04,NorthEastern,29.14,32.44,,,12.11,12.18,,
474,2017-12-05,NorthEastern,29.14,33.02,,,12.11,12.73,,
479,2017-12-06,NorthEastern,29.14,29.4,,,12.11,12.7,,
484,2017-12-07,NorthEastern,29.14,32.1,,,12.11,12.67,,
489,2017-12-08,NorthEastern,29.14,32.83,,,12.11,12.76,,
494,2017-12-09,NorthEastern,29.14,32.78,,,12.11,13.26,,
499,2017-12-10,NorthEastern,29.14,32.96,,,12.11,13.35,,
504,2017-12-11,NorthEastern,29.14,32.31,,,12.11,13.03,,
509,2017-12-12,NorthEastern,29.14,33.8,,,12.11,12.68,,
514,2017-12-13,NorthEastern,29.14,35.15,,,12.11,12.99,,
519,2017-12-14,NorthEastern,29.14,33.88,,,12.11,13.06,,
524,2017-12-15,NorthEastern,29.14,33.5,,,12.11,13.44,,
529,2017-12-16,NorthEastern,29.14,32.58,,,12.11,12.78,,
534,2017-12-17,NorthEastern,29.14,27.01,,,12.11,13.02,,
539,2017-12-18,NorthEastern,29.14,30.84,,,12.11,12.23,,
544,2017-12-19,NorthEastern,29.14,32.01,,,12.11,12.31,,
549,2017-12-20,NorthEastern,29.14,30.19,,,12.11,12.34,,
554,2017-12-21,NorthEastern,29.14,30.24,,,12.11,11.49,,
559,2017-12-22,NorthEastern,29.14,29.98,,,12.11,11.51,,
564,2017-12-23,NorthEastern,29.14,30.12,,,12.11,11.57,,
569,2017-12-24,NorthEastern,29.14,29.35,,,12.11,11.57,,
574,2017-12-25,NorthEastern,29.14,34.54,,,12.11,10.69,,
579,2017-12-26,NorthEastern,29.14,33.0,,,12.11,10.97,,
584,2017-12-27,NorthEastern,29.14,28.46,,,12.11,10.57,,
589,2017-12-28,NorthEastern,29.14,30.83,,,12.11,9.83,,
594,2017-12-29,NorthEastern,29.14,31.17,,,12.11,9.62,,
599,2017-12-30,NorthEastern,29.14,35.21,,,12.11,8.76,,
604,2017-12-31,NorthEastern,29.14,35.71,,,12.11,9.17,,
609,2018-01-01,NorthEastern,31.88,35.76,,,11.28,8.56,,
614,2018-01-02,NorthEastern,31.88,36.26,,,11.28,8.66,,
619,2018-01-03,NorthEastern,31.88,36.06,,,11.28,8.17,,
624,2018-01-04,NorthEastern,31.88,35.25,,,11.28,8.34,,
629,2018-01-05,NorthEastern,31.88,30.75,,,11.28,8.43,,
634,2018-01-06,NorthEastern,31.88,30.47,,,11.28,8.33,,
639,2018-01-07,NorthEastern,31.88,33.04,,,11.28,8.03,,
644,2018-01-08,NorthEastern,31.88,33.83,,,11.28,8.84,,
649,2018-01-09,NorthEastern,31.88,34.13,,,11.28,8.61,,
654,2018-01-10,NorthEastern,31.88,34.24,,,11.28,8.28,,
