index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Total Actual Power,Total Estimated Power
0,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81,927.86,840.5899999999999
5,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19,927.86,860.3
10,2017-09-03,Northern,624.23,492.69,30.36,35.65,273.27,316.69,927.86,845.03
15,2017-09-04,Northern,624.23,568.34,30.36,35.62,273.27,297.47,927.86,901.4300000000001
20,2017-09-05,Northern,628.58,597.08,30.36,35.72,273.27,290.23,932.21,923.0300000000001
25,2017-09-06,Northern,628.58,628.93,30.36,35.86,273.27,296.1,932.21,960.89
30,2017-09-07,Northern,628.48,651.03,30.36,35.86,273.27,298.57,932.11,985.46
35,2017-09-08,Northern,628.48,689.88,30.36,35.68,273.27,289.16,932.11,1014.72
40,2017-09-09,Northern,631.16,717.43,30.36,35.58,273.27,278.05,934.79,1031.06
45,2017-09-10,Northern,620.05,729.84,30.36,35.72,273.27,275.4,923.68,1040.96
50,2017-09-11,Northern,623.3,733.92,30.36,35.66,273.27,283.93,926.93,1053.51
55,2017-09-12,Northern,623.3,739.87,30.36,34.56,273.27,271.18,926.93,1045.6100000000001
60,2017-09-13,Northern,628.08,753.8,30.36,30.69,273.27,263.43,931.71,1047.92
65,2017-09-14,Northern,628.08,720.86,30.36,30.71,273.27,257.44,931.71,1009.01
70,2017-09-15,Northern,628.08,703.6,30.36,30.66,273.27,260.56,931.71,994.8199999999999
75,2017-09-16,Northern,628.08,728.47,30.36,30.65,273.27,246.99,931.71,1006.11
80,2017-09-17,Northern,628.08,682.88,30.36,30.79,273.27,242.68,931.71,956.3499999999999
85,2017-09-18,Northern,628.08,701.28,30.36,28.65,273.27,244.07,931.71,974.0
90,2017-09-19,Northern,628.08,704.14,30.36,26.21,273.27,240.35,931.71,970.7
95,2017-09-20,Northern,624.13,719.08,30.36,26.15,273.27,238.72,927.76,983.95
100,2017-09-21,Northern,624.13,710.69,30.36,26.18,273.27,239.27,927.76,976.14
105,2017-09-22,Northern,222.44,209.74,0.0,0.0,68.81,62.09,291.25,271.83000000000004
110,2017-09-23,Northern,624.13,523.93,30.36,30.2,273.27,279.9,927.76,834.03
115,2017-09-24,Northern,624.13,520.12,30.36,31.43,273.27,292.18,927.76,843.73
120,2017-09-25,Northern,624.13,571.59,30.36,31.41,273.27,303.26,927.76,906.26
125,2017-09-26,Northern,626.73,646.01,30.36,31.99,273.27,261.67,930.36,939.6700000000001
130,2017-09-27,Northern,626.73,661.69,30.36,35.54,273.27,254.28,930.36,951.51
135,2017-09-28,Northern,630.62,668.2,30.36,35.75,273.27,248.29,934.25,952.24
140,2017-09-29,Northern,630.62,649.48,30.36,35.81,273.27,240.09,934.25,925.38
145,2017-09-30,Northern,630.62,661.15,30.36,35.83,273.27,236.19,934.25,933.1700000000001
150,2017-10-01,Northern,621.75,650.52,25.8,36.17,157.46,222.85,805.01,909.54
155,2017-10-03,Northern,621.75,691.52,25.8,36.03,157.46,218.56,805.01,946.1099999999999
