index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU)
2,2017-09-01,Southern,576.66,578.55,62.73,49.8,111.57,64.78
7,2017-09-02,Southern,576.66,562.79,62.73,52.76,111.57,59.49
12,2017-09-03,Southern,572.16,530.68,62.73,53.12,111.57,47.53
17,2017-09-04,Southern,572.16,562.81,62.73,53.19,111.57,66.2
22,2017-09-05,Southern,576.35,575.06,62.73,53.16,111.57,58.0
27,2017-09-06,Southern,576.35,549.10,62.73,53.41,111.57,58.7
32,2017-09-07,Southern,585.98,565.52,62.73,53.41,111.57,55.52
37,2017-09-08,Southern,590.63,549.88,62.73,53.65,111.57,66.92
42,2017-09-09,Southern,589.74,549.44,62.73,53.78,111.57,72.25
47,2017-09-10,Southern,589.74,548.38,62.73,54.52,111.57,51.99
52,2017-09-11,Southern,589.74,574.95,62.73,54.55,111.57,83.2
57,2017-09-12,Southern,589.74,585.91,62.73,54.68,111.57,89.81
62,2017-09-13,Southern,589.74,602.26,62.73,54.85,111.57,82.27
67,2017-09-14,Southern,595.15,589.35,62.73,49.3,111.57,57.32
72,2017-09-15,Southern,593.08,593.62,62.73,45.82,111.57,67.95
77,2017-09-16,Southern,604.96,573.85,62.73,48.14,111.57,48.77
82,2017-09-17,Southern,596.08,494.17,62.73,55.03,111.57,43.19
87,2017-09-18,Southern,596.08,480.53,62.73,55.2,111.57,53.84
92,2017-09-19,Southern,596.08,472.32,62.73,55.17,111.57,58.74
97,2017-09-20,Southern,584.76,479.67,62.73,55.13,111.57,78.19
102,2017-09-21,Southern,596.96,524.50,62.73,55.23,111.57,95.32
107,2017-09-22,Southern,270.69,191.91,0.0,0.0,0.0,0.0
112,2017-09-23,Southern,587.32,578.34,62.73,55.46,111.57,101.99
117,2017-09-24,Southern,587.32,556.37,62.73,55.38,111.57,72.42
122,2017-09-25,Southern,591.15,550.65,62.73,55.41,111.57,77.38
127,2017-09-26,Southern,591.15,535.81,62.73,52.14,111.57,87.54
132,2017-09-27,Southern,591.15,543.71,62.73,42.16,111.57,79.2
137,2017-09-28,Southern,591.15,513.01,62.73,42.24,111.57,82.36
142,2017-09-29,Southern,601.66,485.78,62.73,40.27,111.57,83.47
147,2017-09-30,Southern,601.66,475.84,62.73,40.47,111.57,69.71
152,2017-10-01,Southern,575.70,466.38,47.73,40.16,92.06,49.74
157,2017-10-03,Southern,575.70,523.36,47.73,41.91,92.06,67.76
162,2017-10-04,Southern,575.70,548.00,47.73,43.93,92.06,80.9
167,2017-10-05,Southern,575.70,577.17,47.73,45.3,92.06,74.98
172,2017-10-06,Southern,581.31,569.68,47.73,45.87,92.06,65.89
177,2017-10-07,Southern,581.31,573.48,47.73,46.09,92.06,74.06
182,2017-10-08,Southern,590.19,524.03,47.73,46.26,92.06,71.65
187,2017-10-09,Southern,590.19,550.53,47.73,46.15,92.06,94.72
192,2017-10-10,Southern,590.19,558.62,47.73,46.2,92.06,111.74
197,2017-10-11,Southern,598.81,571.50,47.73,46.36,92.06,102.52
202,2017-10-12,Southern,598.81,574.58,47.73,46.41,92.06,102.35
207,2017-10-13,Southern,598.81,565.98,47.73,46.48,92.06,105.72
212,2017-10-14,Southern,598.81,558.71,47.73,46.41,92.06,95.59
