index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU),Total Actual Power,Total Estimated Power
1,2017-09-01,Western,1106.89,1024.33,25.17,3.81,72.0,21.53,1204.0600000000002,1049.6699999999998
6,2017-09-02,Western,1106.89,1050.91,25.17,3.83,72.0,23.97,1204.0600000000002,1078.71
11,2017-09-03,Western,1106.89,1066.73,25.17,3.8,72.0,13.94,1204.0600000000002,1084.47
16,2017-09-04,Western,1106.89,1115.43,25.17,3.81,72.0,37.38,1204.0600000000002,1156.6200000000001
21,2017-09-05,Western,1106.89,1131.78,25.17,3.83,72.0,28.78,1204.0600000000002,1164.3899999999999
26,2017-09-06,Western,1124.57,1171.82,25.17,3.84,72.0,40.94,1221.74,1216.6
31,2017-09-07,Western,1124.57,1180.3,25.17,3.82,72.0,48.25,1221.74,1232.37
36,2017-09-08,Western,1124.57,1189.75,25.17,3.83,72.0,35.86,1221.74,1229.4399999999998
41,2017-09-09,Western,1128.66,1204.61,25.17,3.87,72.0,38.57,1225.8300000000002,1247.0499999999997
46,2017-09-10,Western,1131.56,1218.51,25.17,3.84,72.0,33.9,1228.73,1256.25
51,2017-09-11,Western,1131.56,1203.65,25.17,3.82,72.0,54.72,1228.73,1262.19
56,2017-09-12,Western,1131.56,1194.99,25.17,3.81,72.0,74.08,1228.73,1272.8799999999999
61,2017-09-13,Western,1131.56,1196.4,25.17,3.89,72.0,61.8,1228.73,1262.0900000000001
66,2017-09-14,Western,1131.56,1209.96,25.17,3.86,72.0,62.05,1228.73,1275.87
71,2017-09-15,Western,1131.56,1243.93,25.17,3.84,72.0,41.27,1228.73,1289.04
76,2017-09-16,Western,1131.56,1228.99,25.17,3.83,72.0,17.06,1228.73,1249.8799999999999
81,2017-09-17,Western,1131.56,1164.03,25.17,3.87,72.0,12.37,1228.73,1180.2699999999998
86,2017-09-18,Western,1131.56,1172.61,25.17,3.85,72.0,15.09,1228.73,1191.5499999999997
91,2017-09-19,Western,1131.56,1171.83,25.17,3.85,72.0,15.72,1228.73,1191.3999999999999
96,2017-09-20,Western,1131.56,1138.76,25.17,3.85,72.0,19.65,1228.73,1162.26
101,2017-09-21,Western,1131.56,1142.49,25.17,3.84,72.0,16.74,1228.73,1163.07
106,2017-09-22,Western,419.55,409.17,0.0,0.0,44.54,3.8,464.09000000000003,412.97
111,2017-09-23,Western,1135.69,1146.57,25.17,3.83,72.0,21.41,1232.8600000000001,1171.81
116,2017-09-24,Western,1140.12,1168.59,25.17,3.83,72.0,16.95,1237.29,1189.37
121,2017-09-25,Western,1140.12,1205.39,25.17,3.82,72.0,23.85,1237.29,1233.06
126,2017-09-26,Western,1140.12,1237.06,25.17,3.84,72.0,28.24,1237.29,1269.1399999999999
131,2017-09-27,Western,1140.12,1245.38,25.17,3.85,72.0,30.32,1237.29,1279.55
136,2017-09-28,Western,1140.12,1241.16,25.17,3.83,72.0,26.39,1237.29,1271.38
141,2017-09-29,Western,1140.12,1203.24,25.17,16.81,72.0,19.59,1237.29,1239.6399999999999
146,2017-09-30,Western,1140.12,1134.4,25.17,16.82,72.0,18.41,1237.29,1169.63
151,2017-10-01,Western,1155.3,1139.73,25.13,16.84,57.11,14.03,1237.54,1170.6
156,2017-10-03,Western,1155.3,1215.31,25.13,16.83,57.11,39.96,1237.54,1272.1
161,2017-10-04,Western,1155.3,1206.24,25.13,16.84,57.11,45.92,1237.54,1269.0
166,2017-10-05,Western,1150.82,1221.59,25.13,16.83,57.11,33.89,1233.06,1272.31
171,2017-10-06,Western,1150.82,1212.64,25.13,16.83,57.11,31.23,1233.06,1260.7
176,2017-10-07,Western,1150.82,1203.27,25.13,16.83,57.11,24.51,1233.06,1244.61
181,2017-10-08,Western,1150.82,1157.01,25.13,16.84,57.11,16.51,1233.06,1190.36
186,2017-10-09,Western,1155.3,1160.06,25.13,16.83,57.11,18.71,1237.54,1195.6
191,2017-10-10,Western,1155.3,1178.27,25.13,15.68,57.11,19.31,1237.54,1213.26
196,2017-10-11,Western,1155.3,1191.84,25.13,16.02,57.11,19.11,1237.54,1226.9699999999998
201,2017-10-12,Western,1155.3,1219.13,25.13,16.63,57.11,19.93,1237.54,1255.6900000000003
206,2017-10-13,Western,1155.3,1226.64,25.13,16.88,57.11,21.27,1237.54,1264.7900000000002
211,2017-10-14,Western,1155.3,1205.16,25.13,16.82,57.11,19.68,1237.54,1241.66
216,2017-10-15,Western,1155.3,1180.41,25.13,16.89,57.11,17.75,1237.54,1215.0500000000002
221,2017-10-16,Western,1155.3,1211.94,25.13,16.89,57.11,21.39,1237.54,1250.2200000000003
226,2017-10-17,Western,1155.3,1219.8,25.13,16.86,57.11,18.38,1237.54,1255.04
231,2017-10-18,Western,1155.3,1189.18,25.13,16.86,57.11,15.19,1237.54,1221.23
236,2017-10-19,Western,1153.02,1121.42,25.13,16.85,57.11,14.78,1235.26,1153.05
241,2017-10-20,Western,1128.44,1055.67,25.13,16.85,57.11,11.26,1210.68,1083.78
246,2017-10-21,Western,1128.44,1056.42,25.13,16.87,57.11,15.28,1210.68,1088.57
251,2017-10-22,Western,1128.44,1049.49,25.13,16.85,57.11,12.52,1210.68,1078.86
256,2017-10-23,Western,1128.44,1131.33,25.13,16.85,57.11,17.87,1210.68,1166.0499999999997
261,2017-10-24,Western,1128.44,1181.98,25.13,16.91,57.11,17.72,1210.68,1216.6100000000001
266,2017-10-25,Western,1127.02,1198.23,25.13,16.77,57.11,22.42,1209.26,1237.42
271,2017-10-26,Western,1127.02,1196.07,25.13,16.89,57.11,20.57,1209.26,1233.53
276,2017-10-27,Western,1127.02,1204.84,25.13,16.85,57.11,22.28,1209.26,1243.9699999999998
281,2017-10-28,Western,1127.02,1209.65,25.13,16.85,57.11,20.68,1209.26,1247.18
286,2017-10-29,Western,1127.02,1191.91,25.13,16.84,57.11,17.71,1209.26,1226.46
291,2017-10-30,Western,1127.02,1213.04,25.13,16.84,57.11,16.62,1209.26,1246.4999999999998
296,2017-10-31,Western,1127.02,1229.73,25.13,16.85,57.11,20.03,1209.26,1266.61
301,2017-11-01,Western,1100.43,1204.17,25.17,16.89,45.87,19.18,1171.47,1240.2400000000002
306,2017-11-02,Western,1100.43,1204.19,25.17,16.87,45.87,22.3,1171.47,1243.36
311,2017-11-03,Western,1101.82,1194.05,25.17,16.86,45.87,20.65,1172.86,1231.56
316,2017-11-04,Western,1101.82,1144.65,25.17,16.85,45.87,19.4,1172.86,1180.9
321,2017-11-05,Western,1099.82,1162.74,25.17,16.84,45.87,15.57,1170.86,1195.1499999999999
326,2017-11-06,Western,1099.82,1221.96,25.17,16.87,45.87,25.61,1170.86,1264.4399999999998
331,2017-11-07,Western,1099.82,1261.05,25.17,16.82,45.87,28.39,1170.86,1306.26
336,2017-11-08,Western,1099.82,1238.8,25.17,16.88,45.87,29.9,1170.86,1285.5800000000002
341,2017-11-09,Western,1099.82,1230.78,25.17,16.89,45.87,32.05,1170.86,1279.72
346,2017-11-10,Western,1099.82,1199.8,25.17,16.87,45.87,30.66,1170.86,1247.33
351,2017-11-11,Western,1099.82,1193.72,25.17,16.87,45.87,25.26,1170.86,1235.85
356,2017-11-12,Western,1099.82,1167.47,25.17,16.86,45.87,19.38,1170.86,1203.71
361,2017-11-13,Western,1099.82,1174.5,25.17,16.85,45.87,29.17,1170.86,1220.52
366,2017-11-14,Western,1099.82,1179.94,25.17,16.84,45.87,29.15,1170.86,1225.93
371,2017-11-15,Western,1098.68,1172.71,25.17,16.86,45.87,24.25,1169.72,1213.82
376,2017-11-16,Western,1098.68,1173.19,25.17,16.95,45.87,25.5,1169.72,1215.64
381,2017-11-17,Western,1093.3,1177.58,25.17,16.93,45.87,18.75,1164.34,1213.26
386,2017-11-18,Western,1095.61,1176.45,25.17,16.91,45.87,18.78,1166.6499999999999,1212.14
391,2017-11-19,Western,1133.28,1138.78,25.17,16.89,45.87,21.81,1204.32,1177.48
396,2017-11-20,Western,1100.91,1154.1,25.17,16.88,45.87,21.09,1171.95,1192.07
401,2017-11-21,Western,1100.91,1174.37,25.17,29.78,45.87,21.12,1171.95,1225.2699999999998
406,2017-11-22,Western,1100.91,1169.4,25.17,29.81,45.87,20.34,1171.95,1219.55
411,2017-11-23,Western,1100.91,1170.22,25.17,29.82,45.87,18.03,1171.95,1218.07
416,2017-11-24,Western,1100.91,1183.26,25.17,29.82,45.87,17.53,1171.95,1230.61
421,2017-11-25,Western,1100.91,1169.33,25.17,29.82,45.87,17.92,1171.95,1217.07
426,2017-11-26,Western,1095.47,1136.79,25.17,29.81,45.87,13.98,1166.51,1180.58
431,2017-11-27,Western,1103.72,1175.93,25.17,29.8,45.87,25.8,1174.76,1231.53
436,2017-11-28,Western,1103.72,1174.72,25.17,29.86,45.87,35.41,1174.76,1239.99
441,2017-11-29,Western,1103.72,1157.82,25.17,29.85,45.87,36.74,1174.76,1224.4099999999999
446,2017-11-30,Western,1103.72,1159.77,25.17,29.9,45.87,19.92,1174.76,1209.5900000000001
451,2017-12-01,Western,1056.13,1139.89,25.16,29.89,42.27,22.09,1123.5600000000002,1191.8700000000001
456,2017-12-02,Western,1067.74,1130.34,25.16,29.87,42.27,20.27,1135.17,1180.4799999999998
461,2017-12-03,Western,1067.74,1106.24,25.16,29.86,42.27,19.6,1135.17,1155.6999999999998
466,2017-12-04,Western,1067.74,1116.18,25.16,29.84,42.27,19.57,1135.17,1165.59
471,2017-12-05,Western,1069.81,1046.71,25.16,29.8,42.27,20.17,1137.24,1096.68
476,2017-12-06,Western,1070.96,1075.48,25.16,28.45,42.27,21.11,1138.39,1125.04
481,2017-12-07,Western,1070.96,1111.76,25.16,29.15,42.27,20.05,1138.39,1160.96
486,2017-12-08,Western,1070.96,1159.01,25.16,29.67,42.27,16.7,1138.39,1205.38
491,2017-12-09,Western,1070.96,1153.35,25.16,29.76,42.27,23.89,1138.39,1207.0
496,2017-12-10,Western,1073.05,1123.38,25.16,29.86,42.27,18.8,1140.48,1172.04
501,2017-12-11,Western,1073.05,1123.08,25.16,29.9,42.27,26.25,1140.48,1179.23
506,2017-12-12,Western,1070.76,1151.5,25.16,29.75,42.27,21.73,1138.19,1202.98
511,2017-12-13,Western,1070.76,1186.99,25.16,29.84,42.27,21.05,1138.19,1237.8799999999999
516,2017-12-14,Western,1079.98,1151.45,25.16,29.97,42.27,23.42,1147.41,1204.8400000000001
521,2017-12-15,Western,1079.98,1128.08,25.16,29.97,42.27,22.06,1147.41,1180.11
526,2017-12-16,Western,1079.98,1096.61,25.16,29.96,42.27,17.93,1147.41,1144.5
531,2017-12-17,Western,1079.98,1097.81,25.16,29.91,42.27,13.36,1147.41,1141.08
536,2017-12-18,Western,1079.98,1133.85,25.16,29.9,42.27,20.96,1147.41,1184.71
541,2017-12-19,Western,1079.98,1130.2,25.16,29.9,42.27,22.79,1147.41,1182.89
546,2017-12-20,Western,1074.69,1164.43,25.16,29.89,42.27,18.14,1142.1200000000001,1212.4600000000003
551,2017-12-21,Western,1080.14,1165.67,25.16,29.88,42.27,18.88,1147.5700000000002,1214.4300000000003
556,2017-12-22,Western,1082.43,1187.66,25.16,29.86,42.27,17.34,1149.8600000000001,1234.86
561,2017-12-23,Western,1082.43,1205.77,25.16,29.86,42.27,20.1,1149.8600000000001,1255.7299999999998
566,2017-12-24,Western,1082.43,1193.93,25.16,29.9,42.27,17.62,1149.8600000000001,1241.45
571,2017-12-25,Western,1082.43,1190.83,25.16,29.84,42.27,16.84,1149.8600000000001,1237.5099999999998
576,2017-12-26,Western,1095.43,1199.41,25.16,27.73,42.27,20.01,1162.8600000000001,1247.15
581,2017-12-27,Western,1108.92,1209.83,25.16,26.06,42.27,18.35,1176.3500000000001,1254.2399999999998
586,2017-12-28,Western,1114.67,1201.15,25.16,26.19,42.27,17.57,1182.1000000000001,1244.91
591,2017-12-29,Western,1114.67,1206.22,25.16,26.19,42.27,20.34,1182.1000000000001,1252.75
596,2017-12-30,Western,1114.67,1186.15,25.16,26.21,42.27,18.51,1182.1000000000001,1230.8700000000001
